"","psraid","sample","state","cregion","usr","intuse","pialql1","smart3","pial1a","pial1b","pial1c","pial1d","pial1e","pial1f","pial1g","pial1h","pial1i","pial1j","pial1k","pial2","pial3a","pial3b","pial3c","pial3d","pial3e","pial3f","pial3g","pial3h","pial3i","pial4","pial5","pial6a","pial6b","pial6c","pial7a","pial7b","pial7c","pial7d","pial7e","pial7f","pial7g","pial7h","pial7i","pial7j","pial7k","pial8a","pial8b","pial8c","pial8d","pial8e","pial8f","pial8g","pial8h","pial8i","pial8j","pial8k","act87","act112","pial9a","pial9b","pial9c","pial9d","pial9e","pial9f","pial9g","pial9h","pial9i","pial9j","pial10","pial11a","pial11b","pial11c","pial11d","pial11e","pial11f","pial11g","pial11h","pial12","pial13","ql1a","qc1","hh1","employ","par","sex","age","marital","educ2","hisp","race","inc","income","reg","party","partyln","ideo","tp","weight","standwt"
"54",100369,1,49,4,"S",1,1,1,1,2,2,2,2,2,1,1,2,2,1,1,4,3,2,4,3,1,2,2,2,8,2,1,1,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,2,1,1,1,2,2,1,1,1,8,2,2,2,2,2,2,2,2,8,1,NA,NA,2,3,1,2,33,1,4,2,1,6,3,3,1,NA,2,3,3.93103448275862,1.17529533889442
"55",100381,1,29,2,"R",1,1,2,1,1,1,8,1,2,1,1,2,2,1,1,2,2,1,3,2,2,3,2,3,1,2,1,2,2,2,2,2,2,1,2,2,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,1,2,2,2,1,2,2,2,2,1,1,2,2,1,2,2,2,2,2,2,2,2,2,NA,NA,2,1,2,2,57,1,3,2,1,7,4,1,1,NA,2,3,2.37931034482759,0.7113629682782
"56",100384,1,34,1,"S",1,1,1,1,2,2,8,1,1,1,1,1,2,2,1,1,1,3,3,2,3,3,1,1,2,2,1,2,1,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,1,1,2,2,2,2,1,1,1,1,2,2,2,2,2,2,2,2,1,1,NA,NA,2,1,1,1,42,1,3,2,3,3,1,1,2,NA,4,3,5.37931034482759,1.60829888480289
"57",100385,1,39,2,"S",1,1,1,1,8,1,8,2,8,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,1,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,2,2,2,2,2,2,1,NA,NA,1,3,2,1,76,5,8,2,1,9,4,1,2,NA,5,2,1,0.298978638841562
"58",100395,1,24,3,"S",1,1,1,8,1,1,8,8,8,8,8,2,8,8,2,2,1,2,2,2,2,1,2,2,1,2,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,2,2,2,2,2,2,2,1,2,NA,NA,2,1,1,1,49,1,8,2,1,8,4,1,3,1,3,3,3.10344827586207,0.927864741232435
"60",100406,1,49,4,"S",1,1,2,2,1,1,2,2,2,2,1,2,1,2,2,2,3,2,2,3,2,2,2,2,2,1,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,2,2,2,2,2,2,2,1,2,NA,NA,2,3,2,1,70,1,5,2,1,8,4,3,1,NA,1,1,1.62068965517241,0.484551587088049
"61",100407,1,24,3,"S",1,1,2,1,8,8,8,1,1,1,2,2,1,2,2,3,1,3,3,3,3,3,4,4,2,2,1,2,2,2,2,2,2,2,2,8,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,2,1,2,2,2,2,2,1,1,NA,NA,2,1,2,2,64,4,8,2,2,6,3,2,2,NA,4,2,1.79310344827586,0.536099628267629
"62",100412,1,5,3,"R",1,1,2,8,2,3,2,2,8,2,1,2,2,8,2,2,1,2,4,1,1,1,1,5,2,2,2,2,2,1,2,2,8,8,2,2,2,2,1,1,2,2,2,2,1,2,2,2,2,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,2,2,2,2,2,2,1,NA,NA,1,1,2,1,38,6,6,2,1,3,1,1,1,NA,2,1,1.41379310344828,0.422693937672554
"63",100428,1,55,2,"S",1,1,2,2,1,1,2,1,2,1,1,2,2,2,1,1,2,1,2,1,1,1,2,1,2,1,2,2,1,1,2,2,1,1,2,2,2,2,2,2,1,1,1,2,1,2,1,2,2,2,2,1,2,1,2,1,1,2,2,2,1,1,2,3,2,2,2,2,2,1,2,2,2,1,NA,NA,2,1,1,1,45,2,8,2,1,8,4,1,1,NA,2,1,2.41379310344828,0.721672576514116
"66",100445,1,42,1,"S",1,1,2,8,2,2,8,1,8,2,1,1,2,1,1,3,3,3,3,3,3,3,1,3,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,1,2,2,2,2,1,1,2,1,2,2,2,2,2,2,2,2,2,2,NA,NA,2,1,2,2,62,1,3,2,1,99,2,1,1,NA,2,3,3.41379310344828,1.02065121535568
