"","psraid","sample","state","cregion","usr","intuse","pialql1","smart3","pial1a","pial1b","pial1c","pial1d","pial1e","pial1f","pial1g","pial1h","pial1i","pial1j","pial1k","pial2","pial3a","pial3b","pial3c","pial3d","pial3e","pial3f","pial3g","pial3h","pial3i","pial4","pial5","pial6a","pial6b","pial6c","pial7a","pial7b","pial7c","pial7d","pial7e","pial7f","pial7g","pial7h","pial7i","pial7j","pial7k","pial8a","pial8b","pial8c","pial8d","pial8e","pial8f","pial8g","pial8h","pial8i","pial8j","pial8k","act87","act112","pial9a","pial9b","pial9c","pial9d","pial9e","pial9f","pial9g","pial9h","pial9i","pial9j","pial10","pial11a","pial11b","pial11c","pial11d","pial11e","pial11f","pial11g","pial11h","pial12","pial13","ql1a","qc1","hh1","employ","par","sex","age","marital","educ2","hisp","race","inc","income","reg","party","partyln","ideo","tp","weight","standwt"
"288",101843,1,6,4,"U",1,1,2,1,8,1,1,3,8,8,2,2,2,8,2,1,1,1,1,1,1,1,3,5,1,2,2,1,1,2,2,2,1,2,2,2,2,2,1,1,2,2,2,1,2,2,2,2,2,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,2,2,2,2,2,2,2,1,1,NA,NA,1,3,2,1,58,6,1,2,1,1,1,1,2,NA,5,3,1.55172413793103,0.463932370616217
"290",101850,1,30,4,"U",1,1,2,8,8,1,2,1,2,2,8,1,8,8,1,5,1,1,1,1,1,1,1,5,9,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,2,2,2,2,2,2,9,2,2,1,NA,NA,2,2,2,1,68,1,6,2,1,8,4,1,1,NA,1,3,1.17241379310345,0.350526680021142
"291",101859,1,4,4,"S",1,1,1,1,2,1,2,1,2,1,1,1,2,2,2,3,1,3,3,1,3,1,1,3,2,2,1,1,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,1,2,1,2,2,2,1,1,8,2,2,2,2,2,2,2,2,1,2,NA,NA,2,1,1,1,50,1,3,2,1,6,3,1,3,1,2,1,3.10344827586207,0.927864741232435
"292",101869,1,31,2,"R",1,2,NA,1,1,1,3,3,1,1,1,2,3,1,2,1,3,3,3,3,3,2,2,5,1,2,1,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,1,2,NA,2,2,2,1,66,1,6,2,1,2,1,3,3,9,3,2,2,0.597957277683125
"293",101872,1,47,3,"S",1,1,1,1,1,1,1,1,2,2,2,1,2,1,1,3,1,1,3,2,1,1,1,1,1,2,1,2,2,2,2,2,2,2,2,8,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,2,1,2,2,2,2,2,2,2,NA,NA,2,1,1,1,35,1,6,2,1,6,3,1,1,NA,2,3,2.27586206896552,0.680434143570452
"294",101879,1,49,4,"S",1,2,NA,2,2,2,3,3,2,2,2,2,2,2,2,1,3,1,3,1,1,1,1,4,2,2,2,2,2,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,1,2,1,2,2,2,2,1,2,1,2,1,1,2,2,2,1,1,2,1,2,2,2,2,2,2,2,2,2,1,1,NA,4,3,2,2,68,3,4,2,1,4,2,1,2,NA,2,2,4.44827586206897,1.32993946243316
"295",101886,1,53,4,"S",1,1,2,8,2,2,2,2,2,1,1,2,1,2,1,1,1,1,3,2,1,1,1,1,2,2,1,2,1,1,8,1,1,1,2,2,8,8,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,2,1,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,1,NA,NA,2,2,2,2,57,1,5,2,1,8,4,1,3,1,3,1,1.48275862068966,0.443313154144385
"296",101892,1,49,4,"S",1,1,1,1,8,8,8,1,2,2,1,2,2,2,2,3,1,3,3,2,3,1,1,1,2,2,1,2,2,1,2,2,1,1,1,1,2,2,2,2,2,2,2,2,1,2,1,2,2,2,2,1,2,1,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,1,2,NA,NA,2,1,2,2,53,1,4,2,1,6,3,1,3,1,2,3,4.79310344827586,1.43303554479232
"298",101910,1,6,4,"S",1,1,1,8,1,1,1,1,1,8,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,8,2,2,2,2,2,1,1,2,1,1,2,2,1,2,2,2,2,1,2,2,2,2,2,8,1,2,2,2,2,2,2,2,1,1,2,2,1,2,1,2,2,2,2,2,2,2,8,NA,NA,2,1,2,2,48,1,6,2,1,8,4,1,1,NA,2,1,3.44827586206897,1.03096082359159
"300",101917,1,6,4,"S",1,1,1,8,1,8,1,1,1,2,1,2,8,1,2,3,1,3,3,3,3,3,3,1,2,2,1,2,2,2,2,2,2,8,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,2,2,2,2,2,2,2,2,2,NA,NA,2,2,2,2,66,1,5,2,1,7,4,1,1,NA,2,1,2,0.597957277683125
"301",101918,1,6,4,"S",1,1,1,1,2,1,2,1,2,1,1,1,1,1,1,2,2,1,3,3,2,1,3,2,2,2,1,1,1,1,2,2,1,1,2,1,1,1,2,1,2,1,2,2,2,2,2,2,1,2,2,1,1,1,1,1,2,2,2,2,1,1,1,2,1,2,2,2,2,1,2,2,2,1,NA,NA,2,1,1,2,30,1,6,2,4,6,3,1,3,1,3,1,2.51724137931034,0.752601401221864
"302",101920,1,6,4,"S",1,1,2,2,2,2,2,2,2,2,1,2,2,2,1,2,1,1,1,1,2,1,1,1,2,2,2,1,2,2,2,2,1,1,3,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,1,NA,NA,2,3,2,2,57,1,3,2,1,99,3,1,1,NA,1,3,2.72413793103448,0.814459050637359
"303",101932,1,41,4,"R",1,1,2,1,1,1,2,2,2,1,1,2,2,8,2,3,3,3,3,2,3,3,3,3,1,2,1,2,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,1,2,2,2,2,1,2,2,2,1,NA,NA,2,2,2,1,74,1,4,2,1,99,9,1,1,NA,2,1,1.62068965517241,0.484551587088049
"304",101960,1,55,2,"U",1,2,NA,1,2,2,2,2,2,1,2,2,2,2,2,3,1,2,2,2,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,2,2,2,2,2,8,8,2,NA,1,3,2,2,91,5,6,2,1,3,1,1,2,NA,2,3,1.3448275862069,0.402074721200722
"305",101974,1,6,4,"U",1,1,1,8,1,2,2,3,1,1,8,1,1,8,1,2,3,5,3,3,2,1,1,1,2,2,1,2,2,2,2,2,2,1,3,2,2,1,2,1,2,2,2,2,8,2,3,3,2,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,2,2,2,2,1,2,2,2,1,NA,NA,2,3,2,1,81,1,8,2,1,9,4,1,2,NA,4,2,2,0.597957277683125
"306",101985,1,29,2,"S",1,1,1,1,2,2,1,1,1,2,1,2,2,1,2,3,1,3,3,3,2,2,2,3,8,1,2,2,1,1,1,2,1,1,1,1,2,1,1,2,1,1,1,2,2,2,2,1,2,2,2,1,2,1,1,1,1,1,1,1,1,1,1,1,8,1,2,2,2,2,2,2,2,2,NA,NA,2,1,2,2,28,1,8,2,1,8,4,1,3,9,2,3,3.17241379310345,0.948483957704267
"307",101991,1,53,4,"S",1,1,1,8,1,1,2,8,2,2,1,1,2,8,1,1,8,1,1,1,1,1,1,1,8,2,1,1,2,2,2,2,2,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,1,2,2,2,2,1,2,2,8,2,2,2,2,2,2,2,2,2,1,NA,NA,1,1,2,1,53,3,5,2,1,7,4,1,9,9,8,2,2.3448275862069,0.701053360042284
"308",101999,1,6,4,"S",1,1,2,8,1,2,2,2,2,1,1,2,3,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,1,1,2,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,1,2,2,2,2,NA,NA,2,3,1,2,41,1,4,2,3,1,1,1,1,NA,4,3,8,2.3918291107325
"309",102003,1,32,4,"U",1,1,1,1,1,2,1,2,2,2,1,2,2,1,2,2,3,1,3,2,2,2,1,1,2,2,1,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,2,2,2,1,2,2,2,2,1,2,2,1,2,2,1,2,2,2,2,2,1,2,NA,NA,2,3,2,1,67,2,4,2,1,6,3,1,3,9,3,3,1.82758620689655,0.546409236503545
"311",102007,1,6,4,"U",1,1,1,8,2,1,2,1,1,2,1,1,8,1,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,1,NA,NA,2,1,1,1,33,1,3,1,1,6,3,1,1,NA,1,1,4.51724137931035,1.35055867890499
"312",102009,1,53,4,"S",1,1,2,2,1,1,2,2,2,2,2,2,2,2,1,1,3,1,3,2,2,1,1,5,2,2,2,2,2,2,2,2,2,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,2,2,2,2,2,8,1,NA,NA,2,1,1,2,37,1,4,2,1,6,3,1,3,9,3,3,5.37931034482759,1.60829888480289
"313",102013,1,41,4,"U",1,1,1,2,1,8,2,1,2,2,2,2,2,1,2,2,3,2,3,2,2,1,2,2,2,2,1,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,2,2,2,2,2,2,1,2,2,3,2,2,2,2,2,2,2,2,1,1,NA,NA,2,1,2,2,63,1,8,2,1,6,3,1,2,NA,4,2,1.82758620689655,0.546409236503545
"314",102029,1,6,4,"S",1,1,1,1,1,1,1,1,1,2,1,2,2,2,1,1,1,2,1,1,1,1,1,1,1,2,2,2,2,2,2,2,1,1,2,1,1,2,2,2,2,2,2,2,1,2,2,2,2,1,2,1,2,1,2,1,2,2,2,2,1,1,2,1,2,2,2,2,2,2,2,2,1,1,NA,NA,1,1,2,2,66,3,8,2,1,6,3,1,3,1,2,2,1,0.298978638841562
"315",102035,1,16,4,"S",1,1,1,8,2,2,2,1,2,8,2,2,2,2,2,3,3,3,3,2,3,2,2,3,1,2,1,2,1,2,2,2,1,2,8,2,3,2,2,2,2,2,2,2,8,2,2,2,2,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,2,2,2,2,2,8,2,NA,NA,3,2,2,2,69,1,5,2,1,7,4,1,3,1,3,1,1.86206896551724,0.556718844739461
"316",102038,1,6,4,"S",1,1,2,8,1,1,2,1,8,1,2,2,2,1,1,1,1,1,1,1,1,1,1,2,1,2,1,2,2,1,1,2,2,1,2,2,1,2,2,1,2,2,2,2,2,2,2,1,2,2,2,1,2,1,1,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,1,NA,NA,2,1,2,2,50,1,4,1,1,8,4,1,1,NA,2,3,4.75862068965517,1.4227259365564
"317",102039,1,41,4,"S",1,1,2,8,1,1,2,2,2,1,2,2,2,8,2,1,3,1,2,3,1,1,1,1,2,2,2,2,2,1,2,2,1,1,2,1,2,2,2,2,2,2,2,2,1,2,2,2,2,1,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,2,2,2,2,2,2,1,NA,NA,2,3,2,1,64,1,8,2,1,8,4,1,1,NA,1,1,1.03448275862069,0.309288247077478
"318",102041,1,6,4,"U",1,1,1,1,1,8,1,3,1,2,1,2,3,1,1,1,1,1,1,1,1,2,3,1,1,1,2,1,2,1,2,2,2,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,1,1,2,2,2,2,1,1,1,1,1,1,2,2,2,2,1,2,1,2,NA,NA,2,3,1,2,26,6,4,1,2,3,1,1,2,NA,2,1,5.31034482758621,1.58767966833105
"319",102055,1,6,4,"U",1,1,1,1,2,1,2,1,1,1,1,1,2,1,1,2,2,1,2,4,2,1,2,2,2,2,1,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,1,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,1,1,NA,NA,2,1,2,1,57,1,8,2,1,9,4,1,4,1,3,1,1.3448275862069,0.402074721200722
"322",102078,1,26,2,"R",1,1,1,1,1,2,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,2,2,2,2,1,1,2,2,1,1,2,2,2,2,2,1,2,2,2,1,2,2,1,1,1,1,1,1,2,1,2,1,1,1,1,2,1,2,2,2,2,2,2,1,2,NA,NA,3,3,1,2,43,1,6,2,1,8,4,1,3,2,3,2,3.75862068965517,1.12374729771484
"326",102101,1,36,1,"R",1,1,2,8,2,2,2,3,2,2,1,2,1,1,1,2,2,3,2,1,3,1,1,1,2,2,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,1,2,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,NA,NA,4,3,2,2,55,1,6,2,1,6,3,2,1,NA,3,3,1.82758620689655,0.546409236503545
"327",102102,1,23,1,"S",1,1,1,2,2,2,2,2,8,2,2,2,2,2,2,1,1,1,1,1,1,1,1,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,2,2,2,2,2,2,2,2,2,NA,NA,2,1,2,2,54,1,4,2,1,9,4,1,1,NA,2,1,3.41379310344828,1.02065121535568
"329",102110,1,34,1,"S",1,1,2,8,2,1,2,2,1,1,2,2,8,1,1,2,3,2,3,2,2,1,1,5,8,2,1,2,2,2,2,2,8,8,2,2,1,2,2,2,2,2,2,8,1,2,2,2,2,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,8,8,2,2,2,2,2,2,2,8,NA,NA,1,2,2,2,83,3,8,2,1,6,3,1,2,NA,4,2,1.10344827586207,0.32990746354931
"330",102112,1,42,1,"S",1,1,2,8,8,8,2,3,3,2,2,2,3,2,2,2,1,1,2,1,2,1,1,5,8,2,2,2,2,1,1,2,1,1,2,2,2,2,2,2,2,1,2,8,1,2,8,2,1,1,2,1,2,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,8,8,NA,NA,2,3,2,2,77,1,3,2,1,3,1,3,3,9,3,3,2.31034482758621,0.690743751806368
"331",102115,1,36,1,"U",1,1,1,1,2,2,2,1,2,2,1,2,1,8,1,2,3,3,3,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,1,2,2,1,2,2,2,2,2,2,2,2,2,2,NA,NA,2,1,2,2,54,1,7,2,1,8,4,1,3,2,3,3,2.20689655172414,0.65981492709862
"333",102121,1,36,1,"S",1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,3,1,1,1,1,5,1,2,1,2,2,2,2,2,8,8,2,8,3,2,2,2,2,8,2,8,8,2,2,2,2,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,2,2,2,2,2,2,2,2,1,NA,NA,2,3,2,2,64,1,3,2,1,99,9,2,9,9,3,3,4.51724137931035,1.35055867890499
"334",102124,1,39,2,"U",1,1,1,8,8,8,8,2,2,2,2,2,2,2,2,3,1,1,3,3,3,3,3,3,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,2,2,2,2,2,1,2,NA,NA,3,1,2,2,53,3,4,2,1,7,4,3,2,NA,3,3,4.93103448275862,1.47427397773598
"337",102143,1,51,3,"S",1,1,1,1,2,2,2,1,1,2,1,1,2,1,2,3,2,2,3,2,3,1,1,2,1,2,1,1,2,2,2,2,1,1,2,2,2,1,2,2,1,1,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,2,1,1,1,2,2,2,2,2,2,2,2,2,2,2,NA,NA,2,3,2,2,23,6,6,2,3,4,2,1,2,NA,4,2,3.44827586206897,1.03096082359159
"338",102150,1,18,2,"U",1,1,1,1,1,1,2,1,2,1,2,2,1,1,1,2,1,1,1,1,1,1,1,1,2,1,1,2,2,1,2,2,1,1,2,2,1,2,2,2,2,2,2,2,1,2,2,3,2,2,2,1,2,1,2,2,2,2,2,2,1,2,2,1,2,2,2,2,2,2,2,2,2,1,NA,NA,3,2,2,2,59,1,6,2,1,9,4,1,3,9,2,3,2.48275862068966,0.742291792985948
"339",102155,1,36,1,"U",1,1,1,1,2,2,2,2,2,1,1,2,1,1,1,2,3,2,3,3,1,1,1,1,2,2,1,1,2,2,2,2,1,2,2,1,2,1,2,1,2,2,2,2,2,2,2,2,2,2,2,1,1,2,1,1,2,2,2,2,1,1,2,9,2,1,9,2,2,2,2,2,2,2,NA,NA,1,3,2,2,64,6,8,1,1,3,1,1,3,2,4,2,2.10344827586207,0.628886102390872
"340",102158,1,42,1,"S",1,1,1,1,1,1,2,1,1,2,1,8,1,1,1,3,1,3,3,3,1,1,1,1,2,1,1,2,2,1,1,1,1,1,2,2,1,1,1,2,1,1,1,2,2,2,1,2,1,1,2,1,2,1,1,1,2,2,2,2,1,1,1,1,2,2,2,2,2,2,2,2,1,2,NA,NA,4,1,1,2,37,1,5,2,1,8,4,1,2,NA,5,2,8,2.3918291107325
"341",102159,1,37,3,"U",1,1,2,1,1,1,2,3,2,2,2,2,2,2,1,3,2,3,3,1,3,2,1,1,2,2,2,1,2,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,2,2,2,2,2,2,2,8,2,NA,NA,1,3,2,2,93,5,3,2,1,2,1,1,1,NA,1,1,1.96551724137931,0.587647669447209
"343",102165,1,12,3,"S",1,1,1,2,1,2,2,1,2,2,1,2,1,2,2,2,1,1,2,1,2,1,2,1,2,1,2,1,1,1,1,1,1,1,1,1,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,1,1,2,1,1,2,2,2,2,1,1,2,4,2,2,2,2,2,1,2,2,2,1,NA,NA,4,1,1,1,47,1,6,2,3,8,4,3,3,2,3,2,4.10344827586207,1.226843380074
"344",102174,1,36,1,"U",1,1,1,8,8,2,1,2,2,1,1,1,1,1,2,2,1,1,3,3,3,1,1,1,2,2,2,1,2,2,1,2,2,1,2,2,1,1,1,2,2,1,2,2,1,2,2,2,1,2,2,1,1,1,1,1,1,1,1,2,1,1,1,2,2,2,2,2,2,1,2,2,1,2,NA,NA,3,2,2,2,18,6,3,2,2,2,1,1,2,NA,3,2,7.13793103448276,2.1340889048346
"346",102178,1,42,1,"S",1,1,1,2,2,1,2,8,2,2,1,2,2,1,2,2,1,1,3,2,1,1,1,5,2,2,1,2,2,2,2,1,1,1,2,2,2,1,1,2,2,1,2,2,1,2,2,2,1,2,2,1,1,1,1,2,1,2,1,2,1,1,1,1,1,1,2,2,2,1,2,2,2,2,NA,NA,2,1,1,2,42,1,6,2,1,9,4,1,1,NA,3,2,4.3448275862069,1.29901063772541
"348",102182,1,26,2,"S",1,1,1,2,8,8,2,2,8,1,2,2,2,8,2,3,3,3,3,3,3,1,3,1,2,2,2,1,1,2,2,2,2,1,1,2,1,1,1,2,2,1,1,1,1,2,1,1,1,1,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,1,1,1,1,2,2,1,NA,NA,4,3,2,1,21,6,2,2,1,3,1,1,3,1,2,3,2.17241379310345,0.649505318862704
"350",102184,1,12,3,"S",1,1,2,8,8,8,2,2,2,2,2,2,2,2,1,1,2,5,2,2,2,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,2,2,2,2,2,2,2,2,1,NA,NA,2,3,2,1,80,1,7,2,1,6,3,1,3,1,2,1,1.62068965517241,0.484551587088049
"351",102187,1,42,1,"S",1,1,2,2,2,2,2,2,2,2,2,2,1,2,1,1,1,1,1,1,1,1,1,1,2,2,1,2,2,2,2,2,1,1,2,1,1,2,2,2,2,2,2,2,1,2,2,3,2,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,1,1,2,2,2,2,2,8,1,NA,NA,1,3,2,2,76,4,8,2,1,5,2,1,3,9,2,1,1,0.298978638841562
"352",102191,1,48,3,"R",1,2,NA,8,1,1,2,2,2,2,1,2,2,2,2,3,1,1,1,1,3,1,1,3,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,1,1,1,NA,3,2,2,1,30,6,3,2,1,8,4,1,3,9,3,3,7.17241379310345,2.14439851307052
"353",102194,1,12,3,"S",1,1,2,1,2,2,2,2,2,8,1,2,2,1,2,3,3,3,3,3,3,3,1,3,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,2,2,2,2,2,2,2,2,1,NA,NA,2,3,2,2,74,1,5,2,1,6,3,1,3,2,5,3,1.41379310344828,0.422693937672554
"355",102212,1,34,1,"S",1,1,1,1,1,1,2,2,2,2,1,2,2,1,2,3,1,1,3,1,4,1,2,1,1,2,1,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,1,2,1,2,2,1,2,2,2,1,2,2,1,2,2,2,2,2,2,2,2,2,1,NA,NA,2,3,2,2,72,1,4,2,1,7,4,1,3,9,3,3,1.93103448275862,0.577338061211293
"356",102222,1,26,2,"U",1,1,1,1,2,2,2,1,8,1,1,1,1,2,2,3,3,1,3,3,3,1,1,3,2,2,1,2,2,2,2,1,2,1,2,2,2,1,2,2,2,2,2,2,1,2,2,2,2,1,2,1,2,1,2,1,2,2,2,2,1,1,1,3,1,1,2,2,2,2,2,2,1,2,NA,NA,2,1,1,1,48,1,8,2,1,9,4,1,2,NA,4,2,2.41379310344828,0.721672576514116
"358",102226,1,4,4,"S",1,1,2,1,8,8,2,2,2,2,1,2,2,2,1,3,3,8,8,3,8,3,5,8,2,2,1,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,2,2,2,2,2,2,1,2,2,1,2,2,2,2,2,2,2,2,1,2,NA,NA,2,3,2,2,55,1,4,2,1,4,2,1,3,2,4,2,1.93103448275862,0.577338061211293
"360",102237,1,19,2,"S",1,1,2,8,2,2,2,2,2,2,1,2,2,1,1,1,1,2,1,2,3,1,2,2,2,2,2,2,1,2,1,2,1,1,2,2,2,2,1,2,2,1,1,2,2,2,2,1,2,2,2,1,2,1,1,1,2,1,1,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,NA,NA,2,3,2,1,62,1,3,2,1,4,2,1,2,NA,2,3,2.41379310344828,0.721672576514116
"361",102240,1,56,4,"U",1,1,1,2,2,1,2,2,2,2,2,2,2,2,2,1,1,1,1,5,1,1,1,5,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,1,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,2,2,2,2,2,2,2,2,2,2,NA,NA,2,1,2,1,62,1,6,2,1,9,4,1,1,NA,2,1,1.03448275862069,0.309288247077478
"362",102242,1,48,3,"R",1,1,1,8,1,1,2,2,2,2,2,2,2,1,1,1,3,1,1,1,1,3,1,1,1,2,2,2,2,1,2,2,1,1,2,2,2,2,2,2,2,2,2,2,8,2,2,2,2,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,1,2,2,2,2,2,2,2,2,NA,NA,2,3,2,1,71,1,6,2,1,5,2,1,3,1,2,1,1.24137931034483,0.371145896492974
"363",102245,1,51,3,"S",1,1,2,2,1,1,2,2,2,1,2,2,2,2,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,2,2,2,1,1,2,8,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,1,2,2,1,2,2,2,2,2,2,2,2,2,1,NA,NA,1,3,2,2,65,9,8,2,1,99,9,1,3,9,3,9,1.10344827586207,0.32990746354931
"364",102250,1,25,1,"S",1,1,1,1,1,1,1,2,2,2,1,2,1,1,2,3,3,1,3,3,3,1,1,5,2,2,3,3,2,1,2,2,2,1,2,8,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,2,1,2,2,2,2,1,1,2,2,2,1,2,2,2,2,2,2,1,1,NA,NA,3,2,2,2,55,1,6,2,1,6,3,1,2,NA,3,3,2.48275862068966,0.742291792985948
"365",102251,1,17,2,"R",1,1,2,8,1,1,2,2,2,2,8,8,2,2,2,4,4,3,3,2,2,3,5,5,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,2,2,2,2,2,1,2,NA,NA,3,2,2,2,50,1,3,2,1,7,4,1,1,NA,1,3,3.89655172413793,1.1649857306585
"366",102260,1,39,2,"S",1,1,1,1,8,8,2,1,2,8,1,2,1,2,1,1,1,1,1,1,1,1,1,1,2,1,2,1,2,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,2,2,2,2,2,2,2,2,2,NA,NA,1,1,2,2,62,6,8,2,1,7,4,1,3,2,3,2,1,0.298978638841562
"368",102287,1,6,4,"U",1,1,2,1,1,1,1,3,8,2,1,2,1,1,1,1,1,1,1,1,1,1,1,3,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,2,2,2,2,2,2,2,NA,NA,3,2,2,1,63,1,6,2,1,7,4,1,2,NA,3,2,2.17241379310345,0.649505318862704
"369",102289,1,5,3,"U",1,1,1,1,1,1,8,1,2,1,1,2,1,1,2,3,1,2,3,3,3,1,2,1,2,2,1,1,1,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,2,1,1,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,1,1,NA,NA,2,1,2,2,48,1,6,2,1,7,4,1,1,NA,2,2,2.44827586206897,0.731982184750032
