psraid,sample,state,cregion,usr,intuse,pialql1,smart3,pial1a,pial1b,pial1c,pial1d,pial1e,pial1f,pial1g,pial1h,pial1i,pial1j,pial1k,pial2,pial3a,pial3b,pial3c,pial3d,pial3e,pial3f,pial3g,pial3h,pial3i,pial4,pial5,pial6a,pial6b,pial6c,pial7a,pial7b,pial7c,pial7d,pial7e,pial7f,pial7g,pial7h,pial7i,pial7j,pial7k,pial8a,pial8b,pial8c,pial8d,pial8e,pial8f,pial8g,pial8h,pial8i,pial8j,pial8k,act87,act112,pial9a,pial9b,pial9c,pial9d,pial9e,pial9f,pial9g,pial9h,pial9i,pial9j,pial10,pial11a,pial11b,pial11c,pial11d,pial11e,pial11f,pial11g,pial11h,pial12,pial13,ql1,ql1a,qc1,hh1,employ,par,sex,age,marital,educ2,hisp,race,inc,income,reg,party,partyln,ideo,tp,weight,standwt
101567,1,9,1,S,1,1,1,8,2,2,2,1,8,8,1,2,2,2,2,1,1,1,1,1,1,1,1,1,2,2,1,1,2,2,2,2,1,1,2,2,2,2,2,2,2,1,1,2,1,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2,1,2,2,1,2,2,2,2,2,2,2,2,1,1,1, , ,3,1,1,2,47,1,4,2,2,8,4,1,2, ,3,3,5.82758620689655,1.74232379186979
101573,1,26,2,S,1,2, ,8,1,2,2,2,2,1,1,1,2,1,1,3,1,3,2,3,2,1,1,1,1,2,1,2,2,1,2,2,2,1,2,2,2,1,1,2,2,1,2,2,2,2,1,2,1,2,2,1,1,1,1,1,2,1,2,2,1,1,1,1,2,1,2,1,2,1,2,1,2,2,2,2, ,4,3,1,2,34,2,4,1,6,5,2,3,3,2,4,4,8,2.3918291107325
101599,1,39,2,S,1,1,2,2,2,2,2,2,2,2,1,2,2,2,2,3,3,1,3,3,3,1,1,3,2,1,1,1,2,1,2,2,1,1,2,8,1,1,2,2,2,2,2,2,1,2,1,2,1,3,2,1,2,1,1,1,1,1,1,2,1,1,1,1,2,2,2,2,2,2,2,2,2,2,1, , ,2,3,2,2,69,1,3,2,1,99,4,1,2, ,3,3,2.86206896551724,.855697483581023
101601,1,36,1,S,1,1,1,2,2,2,2,2,2,2,1,2,2,2,1,2,1,1,1,1,1,1,1,1,2,2,1,1,2,1,2,2,2,2,2,2,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,1,1,2,1,2,1,1,1,4,2,2,2,2,2,1,2,2,1,2,1, , ,3,2,2,1,19,6,4,2,1,3,1,1,5,9,3,1,3.24137931034483,.969103174176098
101603,1,19,2,R,1,1,2,9,9,1,8,1,8,8,1,2,1,1,1,2,2,2,3,2,2,1,1,2,2,2,1,1,8,2,2,2,1,2,2,2,2,1,2,2,2,2,2,2,1,2,3,3,2,2,2,1,2,1,2,2,2,2,2,2,1,2,1,2,2,2,2,2,2,2,2,2,8,2,1, , ,3,1,2,2,56,1,7,2,1,6,3,1,1, ,2,3,1.44827586206897,.433003545908469
101608,1,22,3,U,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2, , , , , , , ,8,1,2,2, ,2,3,2,2,65,1,3,2,2,1,1,1,2, ,2,3,4.20689655172414,1.25777220478174
101618,1,42,1,S,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2, , , , , , , ,8,8,2,2, ,1,3,2,2,96,5,4,2,1,99,9,1,2, ,4,2,1.6551724137931,.494861195323965
101628,1,12,3,U,2,1,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2, , , , , , , ,2,2,1, , ,1,2,2,1,68,5,3,2,1,2,1,1,3,9,3,3,2.24137931034483,.670124535334536
101631,1,8,4,R,1,1,1,2,2,2,1,2,2,1,1,2,2,1,1,3,1,1,3,3,3,3,3,1,1,2,2,1,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , ,2,2,2,2,2,2,2,2,2,2,1,1, , ,3,3,2,2,20,6,3,2,1,2,1,1,3,2,4,3,4.27586206896552,1.27839142125358
101636,1,21,3,R,1,1,2,1,1,1,1,2,2,2,1,2,8,1,2,2,3,3,3,2,2,3,3,5,1,2,1,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,1, , ,2,3,2,2,55,2,2,2,1,1,1,1,2, ,9,3,2.93103448275862,.876316700052855
101652,1,21,3,R,1,1,2,2,2,2,2,2,2,2,2,8,8,8,2,8,5,5,8,8,5,5,5,5,2,2,3,3,3,3,2,2,2,2,2,8,2,1,2,2,2,2,2,8,2,2,3,3,2,2,2,2,8, , , , , , , , , , ,2,2,8,2,2,2,2,2,2,2,8,1, , ,2,1,1,1,65,3,3,2,1,99,9,1,2, ,8,3,2.3448275862069,.701053360042284
101655,1,55,2,S,2,1,8, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2, , , , , , , ,8,8,1, , ,2,3,2,2,81,1,5,2,1,99,9,1,1, ,9,8,1.13793103448276,.340217071785226
101656,1,36,1,U,1,1,1,2,1,2,1,1,2,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,2,1,1,1,2,2,2,1,2,1,2,2,1,8,1,2,2,2,2,1,2,1,2,1,1,2,2,2,2,2,1,1,1,2,1,1,2,2,2,2,2,2,1,1,1, , ,1,1,2,1,43,6,6,2,1,7,4,1,3,2,4,2,1.86206896551724,.556718844739461
101659,1,13,3,S,1,1,1,2,2,2,2,1,2,8,1,2,2,8,1,1,1,1,1,1,1,1,1,1,2,2,1,1,2,2,2,1,1,1,2,2,2,2,2,2,2,2,2,1,1,2,1,2,2,1,1,1,1,1,1,1,2,2,2,2,1,1,2,4,8,1,2,2,2,2,2,2,2,2,1, , ,1,1,1,1,44,3,8,2,1,99,9,2,3,2,4,2,2.41379310344828,.721672576514116
101660,1,24,3,S,1,1,1,1,2,2,2,2,2,1,2,2,2,1,2,2,3,1,1,3,3,3,1,1,2,2,2,2,2,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,2,2,2,2,2,2,2,2,2,2,2,8,1,2,2,2,2,2,2,2,2,1,1, , ,4,3,2,1,60,1,3,2,2,3,1,1,2, ,3,2,3.51724137931035,1.05158004006343
101679,1,42,1,S,1,2, ,1,8,8,3,3,8,2,2,2,2,2,8,3,8,5,8,8,8,3,8,5,2,2,1,1,2,8,2,2,1,8,2,8,2,2,2,2,8,2,8,8,8,8,8,2,8,8,8,2,2, , , , , , , , , , ,1,2,2,2,2,2,2,2,2,8,8,2,2, ,2,3,2,1,52,1,5,2,1,6,3,1,1, ,4,2,8,2.3918291107325
101682,1,45,3,U,1,1,2,1,8,8,8,3,2,2,1,2,1,1,2,1,1,1,1,2,2,1,1,1,2,2,1,1,2,1,2,2,1,1,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,1,2,2,2,1,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,1,1, , ,1,3,2,2,45,6,3,2,1,1,1,3,1, ,2,3,2.82758620689655,.845387875345107
101683,1,28,3,R,2,1,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2, , , , , , , ,2,1,1, , ,2,3,2,1,72,1,6,2,1,8,4,1,1, ,1,2,1.24137931034483,.371145896492974
101692,1,48,3,U,1,1,2,8,1,1,2,1,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,8,2,2,2,2,1,2,1,3,2,8,2,2,2, , , , , , , , , , ,2,8,8,1,2,8,2,1,2,2,2,1, , ,2,3,2,1,73,1,4,2,1,4,2,1,3,2,4,2,2.6551724137931,.793839834165527
101693,1,42,1,U,1,1,2,8,2,2,2,3,2,2,2,2,2,2,2,3,3,3,3,1,3,1,3,3,1,2,1,1,2,2,2,2,2,1,2,2,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,1,2,1,2,1,2,2,2,2,1,1,2,8,2,2,2,2,2,2,2,2,1,2,1, , ,2,3,2,1,62,1,6,2,1,8,4,1,2, ,5,3,1.68965517241379,.505170803559881
101702,1,48,3,U,1,2, ,2,2,2,2,1,2,2,8,2,2,2,2,2,1,2,3,3,2,1,1,1,2,2,2,2,2,2,2,2,1,1,2,2,1,1,2,1,2,2,2,2,2,2,2,2,2,2,2,1,2,1,1,1,2,2,2,2,1,1,1,2,2,2,2,2,2,2,2,2,2,1,2,2, ,2,1,1,2,99,1,8,2,1,7,4,1,3,9,3,3,3,.896935916524687
101706,1,39,2,R,1,1,2,1,2,2,2,1,2,2,1,2,2,1,2,3,3,2,3,1,3,1,1,1,2,2,1,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,1,1,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,1,1,1, , ,2,1,1,1,45,1,4,2,1,4,2,3,3,9,4,2,3.6551724137931,1.09281847300709
101709,1,42,1,U,1,1,1,1,1,8,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,3,3,2,2,8,1,1,1,1,2,3,2,2,2,2,1,1,8,1,1,2,2,1,2,1,1,1,2,2,1,8,2,2,1,1,2,1,2,1,2,2,2,2,2,2,2,1,1, , ,2,1,1,1,39,1,6,2,1,1,1,1,3,2,3,3,2.96551724137931,.886626308288771
101714,1,25,1,U,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2, , , , , , , ,2,1,2,2, ,1,3,2,1,85,6,3,2,1,4,2,2,2, ,3,3,3.44827586206897,1.03096082359159
101717,1,47,3,R,1,2, ,2,8,2,3,1,2,2,2,2,2,2,1,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,1,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , ,2,2,2,2,2,2,2,2,2,2,2,2,1, ,3,1,2,1,66,1,6,2,1,8,4,1,1, ,2,3,3.51724137931035,1.05158004006343
101729,1,30,4,R,1,1,1,1,1,1,2,2,2,1,1,2,1,1,2,2,2,1,3,2,2,1,2,2,2,8,1,1,1,1,2,2,2,1,2,2,2,1,2,1,2,2,1,1,1,2,1,2,2,2,1,2,2, , , , , , , , , , ,1,1,1,1,2,1,2,2,2,2,2,1, , ,2,3,2,1,62,1,7,2,1,7,4,1,3,1,2,3,1.03448275862069,.309288247077478
101732,1,10,3,S,1,1,1,2,1,2,1,1,2,2,1,2,2,2,2,1,3,1,3,1,3,1,1,1,1,1,2,1,1,2,2,1,1,1,2,2,1,2,2,2,2,2,2,2,2,2,3,2,1,2,2,1,1,1,1,1,2,2,2,2,1,2,2,2,1,2,2,2,2,2,2,2,2,1,1, , ,2,1,1,2,35,1,6,2,2,8,4,1,3,2,4,2,4.58620689655173,1.37117789537682
101733,1,12,3,U,1,2, ,1,8,2,3,3,8,2,2,2,2,2,2,3,1,5,5,5,5,2,2,3,1,2,3,2,2,2,2,2,8,8,2,2,1,2,3,2,2,2,2,2,1,2,2,3,2,2,2,1,2,2,2,8,2,2,8,2,1,2,2,4,2,2,2,2,2,2,2,2,1,2,2,2, ,1,3,2,2,58,6,2,2,1,1,1,1,9,2,2,3,3.44827586206897,1.03096082359159
101734,1,24,3,R,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , ,4,2,2,2,2,2,2,2,2,1,1,1, , ,2,3,2,1,23,6,4,2,2,1,1,1,2, ,3,2,1.79310344827586,.536099628267629
101735,1,21,3,R,2,1,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2, , , , , , , ,8,1,1, , ,1,3,2,2,50,5,1,2,1,1,1,1,2, ,2,1,2.17241379310345,.649505318862704
101741,1,24,3,S,1,1,1,8,2,2,8,2,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,2,2,2,1,1,2,2,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,2,2,2,1,1,1,2,2,2,1,2,2,2,2,2,2,2,1,1, , ,1,1,1,2,40,6,6,2,2,99,9,1,2, ,3,2,2.89655172413793,.866007091816939
101746,1,12,3,U,1,2, ,8,8,8,3,3,8,2,2,2,2,8,2,2,1,1,1,2,2,1,1,5,2,2,2,2,3,2,3,2,1,2,2,2,1,2,3,2,2,2,2,2,2,2,2,3,2,2,2,2,2, , , , , , , , , , ,1,2,2,2,2,2,2,2,2,2,2,2,2, ,1,3,2,2,69,3,8,2,1,3,1,1,3,9,2,1,1.13793103448276,.340217071785226
101749,1,36,1,U,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,2,3,2,3,3,2,1,2,1,2,2,1,1,1,2,1,2,2,1,2,1,2,1,2,2,2,2,2,2,3,2,1,2,2,2,2,1,1,1,1,1,2,1,2,2,1,1,1,1,2,1,2,2,2,2,2,2,2,1,1, , ,2,1,1,1,44,1,6,2,1,9,4,1,2, ,4,2,3.89655172413793,1.1649857306585
101750,1,23,1,S,1,1,1,8,8,8,8,8,8,8,8,8,8,8,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,1,1,2,8,2,2,2,2,2,2,2,1,2,2,2,2,1,2,1,2,1,1,1,2,2,2,2,1,2,2,1,2,2,2,2,2,2,2,2,2,2,1, , ,3,2,2,2,57,1,4,2,1,7,4,1,3,1,2,2,2.24137931034483,.670124535334536
101756,1,8,4,S,1,1,1,1,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,2,2,2,1,1,2,2,2,1,1,2,2,1,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2, , , , , , , , , , ,2,2,2,2,2,2,2,2,2,2,1,1, , ,2,1,2,1,41,1,5,2,1,8,4,1,1, ,2,1,4.79310344827586,1.43303554479232
101761,1,51,3,S,1,1,2,8,2,8,8,3,8,8,2,2,2,8,2,1,1,1,1,2,1,1,1,1,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,3,2,8,2,2,3,2,3,2,2,2, , , , , , , , , , ,2,2,2,2,2,2,2,2,2,2,1,1, , ,1,3,2,1,73,5,4,2,1,6,3,1,1, ,2,1,1.41379310344828,.422693937672554
101765,1,4,4,S,1,1,2,8,1,8,2,1,8,1,1,8,8,1,2,2,3,2,3,3,2,1,3,2,2,2,1,1,2,2,2,2,2,1,2,2,2,1,1,2,1,2,2,2,1,2,2,2,2,1,2,1,1,1,2,1,1,2,1,2,1,1,1,2,2,1,2,1,2,1,2,2,2,8,1, , ,2,1,2,2,40,6,8,2,1,6,3,1,2, ,3,2,4,1.19591455536625
101768,1,41,4,R,1,1,8,8,2,2,2,2,2,2,2,2,2,8,1,3,3,3,3,2,3,2,3,2,1,2,2,2,2,2,2,2,2,2,2,2,1,2,2,1,2,2,2,2,1,2,1,1,2,1,2,2,2, , , , , , , , , , ,2,2,2,2,2,2,2,1,2,1,1,1, , ,1,1,2,1,59,3,3,2,1,5,2,3,9,1,2,1,1.20689655172414,.360836288257058
101770,1,24,3,S,2,1,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2, , , , , , , ,2,1,1, , ,1,3,2,2,74,5,5,2,1,1,1,1,1, ,2,1,1.03448275862069,.309288247077478
101778,1,9,1,S,1,1,1,1,2,2,1,2,1,2,1,1,8,1,1,2,1,2,2,1,2,1,1,1,2,2,1,2,2,2,1,2,2,1,1,2,1,2,1,2,1,1,3,2,2,2,1,1,1,2,2,1,2,1,1,1,1,1,1,2,1,1,1,1,2,1,2,2,2,2,2,2,2,1,1, , ,3,1,2,2,23,6,4,2,1,1,1,1,2, ,4,2,4.89655172413793,1.46396436950006
101792,1,42,1,S,1,1,2,1,1,1,8,1,8,1,1,8,1,1,1,1,2,1,2,2,1,2,1,1,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,1,1,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,1,1, , ,4,2,2,2,54,1,6,2,1,4,2,1,2, ,3,2,3.51724137931035,1.05158004006343
101798,1,21,3,R,1,1,1,1,2,2,2,1,1,8,1,1,1,1,1,1,1,1,1,2,2,1,1,2,2,1,1,2,1,1,2,2,1,1,2,1,2,1,1,2,2,1,1,2,1,2,1,2,1,1,2,1,2,1,1,1,1,1,1,2,1,1,1,1,2,2,2,2,8,2,2,2,2,2,1, , ,2,1,1,2,55,1,3,2,1,8,4,1,2, ,4,2,2.62068965517241,.783530225929612
101799,1,4,4,U,1,2, ,2,2,2,3,3,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,5,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , ,1,2,2,2,2,2,2,2,2,2,2,2,2, ,3,3,2,2,65,1,3,1,1,4,2,1,2, ,2,3,8,2.3918291107325
101802,1,4,4,R,2,1,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2, , , , , , , ,1,1,1, , ,1,1,2,1,43,2,5,1,6,7,4,1,3,9,3,3,3.51724137931035,1.05158004006343
101812,1,6,4,U,2,1,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2, , , , , , , ,2,2,1, , ,1,3,2,2,79,3,4,2,3,4,2,1,3,1,2,3,1.31034482758621,.391765112964806
101823,1,56,4,R,1,1,2,1,1,1,1,1,1,2,2,2,2,1,1,3,3,2,3,3,3,1,1,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2, , , , , , , , , , ,1,2,2,2,2,2,2,2,2,2,1,1, , ,3,1,1,1,52,1,5,2,1,8,4,1,2, ,2,1,4.13793103448276,1.23715298830991
101826,1,6,4,S,1,1,2,1,2,1,1,2,2,2,1,2,1,2,1,2,1,2,3,2,2,2,2,5,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , ,1,2,1,2,2,2,2,2,2,2,2,1, , ,2,1,2,1,57,1,4,2,1,4,2,1,1, ,4,3,1.44827586206897,.433003545908469
101833,1,41,4,U,1,1,2,1,1,8,1,2,2,8,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,2,8,1,8,2,2,2,1,1,2,1,2,1,2,2,2,2,2,2,8,2,8,2,2,8,8,1,1,1,2,2,2,2,2,2,1,2,1,1,2,2,2,2,2,2,2,2,2,8,1, , ,2,3,1,1,44,3,4,2,1,3,1,1,3,9,4,3,5.62068965517241,1.6804661424543
101834,1,17,2,S,2,1,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2, , , , , , , ,2,2,1, , ,1,3,2,1,81,5,8,2,1,8,4,1,2, ,5,2,1.10344827586207,.32990746354931
101839,1,56,4,U,1,1,1,8,8,8,8,8,1,1,1,2,1,1,2,1,1,1,1,8,2,1,1,1,8,2,1,1,2,2,2,2,2,1,2,2,2,2,2,2,2,2,3,2,2,2,2,3,2,2,2,1,2,2,2,1,2,2,2,2,1,2,2,1,2,2,1,2,2,2,2,2,8,1,1, , ,2,1,2,1,60,2,6,2,1,4,2,1,2, ,3,3,1.03448275862069,.309288247077478
101843,1,6,4,U,1,1,2,1,8,1,1,3,8,8,2,2,2,8,2,1,1,1,1,1,1,1,3,5,1,2,2,1,1,2,2,2,1,2,2,2,2,2,1,1,2,2,2,1,2,2,2,2,2,2,2,2,2, , , , , , , , , , ,1,2,2,2,2,2,2,2,2,1,1,1, , ,1,3,2,1,58,6,1,2,1,1,1,1,2, ,5,3,1.55172413793103,.463932370616217
101845,1,17,2,U,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2, , , , , , , ,2,1,2,2, ,2,3,2,2,78,5,2,2,2,4,2,3,2, ,3,3,5.03448275862069,1.50520280244373
101850,1,30,4,U,1,1,2,8,8,1,2,1,2,2,8,1,8,8,1,5,1,1,1,1,1,1,1,5,9,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , ,8,2,2,2,2,2,2,9,2,2,1,1, , ,2,2,2,1,68,1,6,2,1,8,4,1,1, ,1,3,1.17241379310345,.350526680021142
101859,1,4,4,S,1,1,1,1,2,1,2,1,2,1,1,1,2,2,2,3,1,3,3,1,3,1,1,3,2,2,1,1,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,1,2,1,2,2,2,1,1,8,2,2,2,2,2,2,2,2,1,2,1, , ,2,1,1,1,50,1,3,2,1,6,3,1,3,1,2,1,3.10344827586207,.927864741232435
101869,1,31,2,R,1,2, ,1,1,1,3,3,1,1,1,2,3,1,2,1,3,3,3,3,3,2,2,5,1,2,1,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2, ,2,2,2,1,66,1,6,2,1,2,1,3,3,9,3,2,2,.597957277683125
101872,1,47,3,S,1,1,1,1,1,1,1,1,2,2,2,1,2,1,1,3,1,1,3,2,1,1,1,1,1,2,1,2,2,2,2,2,2,2,2,8,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , ,1,1,2,1,2,2,2,2,2,2,2,1, , ,2,1,1,1,35,1,6,2,1,6,3,1,1, ,2,3,2.27586206896552,.680434143570452
101879,1,49,4,S,1,2, ,2,2,2,3,3,2,2,2,2,2,2,2,1,3,1,3,1,1,1,1,4,2,2,2,2,2,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,1,2,1,2,2,2,2,1,2,1,2,1,1,2,2,2,1,1,2,1,2,2,2,2,2,2,2,2,2,1,2,1, ,4,3,2,2,68,3,4,2,1,4,2,1,2, ,2,2,4.44827586206897,1.32993946243316
101886,1,53,4,S,1,1,2,8,2,2,2,2,2,1,1,2,1,2,1,1,1,1,3,2,1,1,1,1,2,2,1,2,1,1,8,1,1,1,2,2,8,8,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,2,1,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,1,1, , ,2,2,2,2,57,1,5,2,1,8,4,1,3,1,3,1,1.48275862068966,.443313154144385
101892,1,49,4,S,1,1,1,1,8,8,8,1,2,2,1,2,2,2,2,3,1,3,3,2,3,1,1,1,2,2,1,2,2,1,2,2,1,1,1,1,2,2,2,2,2,2,2,2,1,2,1,2,2,2,2,1,2,1,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,1,2,1, , ,2,1,2,2,53,1,4,2,1,6,3,1,3,1,2,3,4.79310344827586,1.43303554479232
101907,1,19,2,R,2,1,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2, , , , , , , ,8,2,1, , ,2,3,2,2,78,1,6,2,1,4,2,1,3,9,3,3,1,.298978638841562
101910,1,6,4,S,1,1,1,8,1,1,1,1,1,8,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,8,2,2,2,2,2,1,1,2,1,1,2,2,1,2,2,2,2,1,2,2,2,2,2,8,1,2,2,2,2,2,2,2,1,1,2,2,1,2,1,2,2,2,2,2,2,2,8,1, , ,2,1,2,2,48,1,6,2,1,8,4,1,1, ,2,1,3.44827586206897,1.03096082359159
101916,1,55,2,U,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2, , , , , , , ,2,8,2,2, ,1,3,2,2,94,5,3,2,1,1,1,1,1, ,3,3,2.75862068965517,.824768658873275
101917,1,6,4,S,1,1,1,8,1,8,1,1,1,2,1,2,8,1,2,3,1,3,3,3,3,3,3,1,2,2,1,2,2,2,2,2,2,8,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2, , , , , , , , , , ,2,1,2,2,2,2,2,2,2,2,2,1, , ,2,2,2,2,66,1,5,2,1,7,4,1,1, ,2,1,2,.597957277683125
101918,1,6,4,S,1,1,1,1,2,1,2,1,2,1,1,1,1,1,1,2,2,1,3,3,2,1,3,2,2,2,1,1,1,1,2,2,1,1,2,1,1,1,2,1,2,1,2,2,2,2,2,2,1,2,2,1,1,1,1,1,2,2,2,2,1,1,1,2,1,2,2,2,2,1,2,2,2,1,1, , ,2,1,1,2,30,1,6,2,4,6,3,1,3,1,3,1,2.51724137931034,.752601401221864
101920,1,6,4,S,1,1,2,2,2,2,2,2,2,2,1,2,2,2,1,2,1,1,1,1,2,1,1,1,2,2,2,1,2,2,2,2,1,1,3,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,1,1, , ,2,3,2,2,57,1,3,2,1,99,3,1,1, ,1,3,2.72413793103448,.814459050637359
101932,1,41,4,R,1,1,2,1,1,1,2,2,2,1,1,2,2,8,2,3,3,3,3,2,3,3,3,3,1,2,1,2,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2, , , , , , , , , , ,8,1,2,2,2,2,1,2,2,2,1,1, , ,2,2,2,1,74,1,4,2,1,99,9,1,1, ,2,1,1.62068965517241,.484551587088049
101960,1,55,2,U,1,2, ,1,2,2,2,2,2,1,2,2,2,2,2,3,1,2,2,2,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , ,2,2,2,2,2,2,2,2,2,8,8,2,2, ,1,3,2,2,91,5,6,2,1,3,1,1,2, ,2,3,1.3448275862069,.402074721200722
101974,1,6,4,U,1,1,1,8,1,2,2,3,1,1,8,1,1,8,1,2,3,5,3,3,2,1,1,1,2,2,1,2,2,2,2,2,2,1,3,2,2,1,2,1,2,2,2,2,8,2,3,3,2,2,2,2,2, , , , , , , , , , ,1,1,2,2,2,2,1,2,2,2,1,1, , ,2,3,2,1,81,1,8,2,1,9,4,1,2, ,4,2,2,.597957277683125
101985,1,29,2,S,1,1,1,1,2,2,1,1,1,2,1,2,2,1,2,3,1,3,3,3,2,2,2,3,8,1,2,2,1,1,1,2,1,1,1,1,2,1,1,2,1,1,1,2,2,2,2,1,2,2,2,1,2,1,1,1,1,1,1,1,1,1,1,1,8,1,2,2,2,2,2,2,2,2,1, , ,2,1,2,2,28,1,8,2,1,8,4,1,3,9,2,3,3.17241379310345,.948483957704267
