psraid,sample,state,cregion,usr,intuse,pialql1,smart3,pial1a,pial1b,pial1c,pial1d,pial1e,pial1f,pial1g,pial1h,pial1i,pial1j,pial1k,pial2,pial3a,pial3b,pial3c,pial3d,pial3e,pial3f,pial3g,pial3h,pial3i,pial4,pial5,pial6a,pial6b,pial6c,pial7a,pial7b,pial7c,pial7d,pial7e,pial7f,pial7g,pial7h,pial7i,pial7j,pial7k,pial8a,pial8b,pial8c,pial8d,pial8e,pial8f,pial8g,pial8h,pial8i,pial8j,pial8k,act87,act112,pial9a,pial9b,pial9c,pial9d,pial9e,pial9f,pial9g,pial9h,pial9i,pial9j,pial10,pial11a,pial11b,pial11c,pial11d,pial11e,pial11f,pial11g,pial11h,pial12,pial13,ql1,ql1a,qc1,hh1,employ,par,sex,age,marital,educ2,hisp,race,inc,income,reg,party,partyln,ideo,tp,weight,standwt
100857,1,34,1,S,1,1,1,2,1,1,2,1,1,1,1,1,1,1,2,1,1,1,1,2,2,1,1,1,2,1,1,1,2,2,2,1,2,1,2,2,1,2,2,1,2,2,2,2,1,2,2,2,2,2,2,1,1,1,1,1,2,2,2,2,1,2,2,3,1,2,2,2,2,2,2,2,2,2,1, , ,2,3,2,2,99,1,7,2,1,9,4,1,2, ,5,2,1.75862068965517,.525790020031713
100868,1,6,4,U,1,1,2,1,2,2,2,2,2,2,1,2,2,1,1,2,1,1,3,1,2,1,1,5,8,1,2,1,2,2,1,2,2,1,2,2,1,1,2,2,2,1,2,2,2,2,2,2,2,2,2,1,2,1,1,1,1,2,2,2,1,1,1,1,2,2,2,2,2,2,2,2,1,1,1, , ,1,3,2,2,71,3,6,2,1,2,1,1,3,1,1,1,1,.298978638841562
100873,1,6,4,R,1,1,2,1,2,2,2,2,2,1,1,2,2,2,1,1,1,1,1,1,1,1,1,1,2,2,2,1,2,2,2,1,1,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,1,1,2,1,2,2,1,1,1,2,2,2,2,2,2,2,2,2,2,1,1, , ,3,1,1,2,49,1,5,2,1,8,4,1,1, ,2,1,3.89655172413793,1.1649857306585
100883,1,6,4,U,1,1,1,1,2,2,2,1,2,2,2,2,2,2,1,2,1,1,3,1,2,1,2,4,2,2,3,3,3,2,8,8,8,1,2,8,8,2,2,1,8,8,8,8,8,8,2,3,8,8,2,2,2, , , , , , , , , , ,2,2,2,2,2,2,2,2,2,8,2,1, , ,1,1,2,1,56,3,5,2,1,3,1,1,3,9,3,3,1.17241379310345,.350526680021142
100885,1,6,4,U,2,1,8, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2, , , , , , , ,2,2,1, , ,2,3,2,1,74,1,7,2,2,7,4,1,2, ,3,2,1.79310344827586,.536099628267629
100886,1,53,4,S,1,1,2,8,2,2,2,2,1,1,1,2,1,8,1,2,1,2,2,2,1,1,1,5,2,2,1,2,2,2,2,2,8,2,2,2,2,2,2,2,2,2,8,8,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,1,2,2,1,2,2,2,2,2,2,2,2,2,8,1, , ,1,3,2,2,71,5,5,2,1,3,1,1,2, ,3,2,1,.298978638841562
100896,1,53,4,S,1,1,1,2,1,2,2,1,2,1,1,2,2,2,1,2,3,1,2,2,1,1,1,1,2,2,2,1,1,2,2,1,1,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,1,1,2,2,2,2,1,2,2,2,1,2,2,2,2,2,2,2,2,1,1, , ,2,3,1,2,37,1,8,2,1,9,4,1,3,2,3,2,3.10344827586207,.927864741232435
100898,1,5,3,R,2,1,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2, , , , , , , ,2,1,1, , ,1,1,2,1,68,3,4,2,1,7,4,1,2, ,9,2,1.10344827586207,.32990746354931
100904,1,20,2,U,1,1,1,8,1,2,8,1,8,1,1,1,8,8,2,2,1,1,3,3,2,1,1,1,2,2,1,1,1,1,2,2,1,1,2,2,2,1,1,2,2,2,1,2,2,2,2,2,2,2,2,1,2,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,1,1, , ,2,1,1,2,38,3,6,2,1,5,2,1,2, ,4,3,3.03448275862069,.907245524760603
100906,1,47,3,S,1,1,1,1,1,1,8,1,8,1,1,2,1,1,1,1,2,1,1,2,1,1,1,1,2,2,2,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,1,2,2,2,2,1,2,1,2,1,2,2,1,1,1,2,1,1,1,2,8,2,2,2,2,2,2,2,2,1,1, , ,2,1,1,1,43,1,8,2,1,99,4,1,1, ,2,8,3.44827586206897,1.03096082359159
100916,1,55,2,R,1,1,1,8,8,2,8,1,1,1,1,8,3,1,2,3,3,3,3,3,2,2,3,3,2,2,1,2,2,1,2,2,2,1,1,2,2,1,1,2,2,2,2,2,9,2,2,2,2,2,9,1,2,2,2,1,1,1,2,2,1,1,1,1,2,8,2,2,2,2,2,2,1,8,1, , ,2,1,1,1,30,2,6,2,1,99,9,2,3,9,1,3,1.62068965517241,.484551587088049
100922,1,48,3,S,1,1,1,1,2,1,2,2,2,2,2,2,2,2,1,1,1,1,2,1,1,1,1,1,2,2,2,2,2,1,2,2,1,1,2,2,1,2,2,2,2,2,1,1,1,2,2,1,2,1,2,2,2, , , , , , , , , , ,1,2,2,2,2,2,2,2,2,2,2,1, , ,2,2,1,2,41,1,6,2,1,9,4,2,1, ,3,3,4.31034482758621,1.28870102948949
100942,1,29,2,R,2,1,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2, , , , , , , ,2,2,1, , ,2,3,2,1,66,1,3,2,1,3,1,1,1, ,1,3,2.13793103448276,.639195710626788
100945,1,55,2,U,2,1,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2, , , , , , , ,2,1,1, , ,2,3,2,1,70,1,3,2,1,4,2,1,2, ,2,3,2.37931034482759,.7113629682782
100947,1,19,2,U,1,1,1,8,1,1,2,1,8,8,1,2,1,2,1,3,3,3,3,3,3,1,2,1,1,2,2,2,2,2,2,2,2,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , ,1,2,1,2,2,2,2,2,2,1,2,1, , ,1,1,2,2,52,3,6,2,1,7,4,1,2, ,4,2,1.37931034482759,.412384329436638
100949,1,40,3,R,2,1,1,8,8,8,8,2,2,8,8,8,8,8,2,3,3,3,3,3,3,2,2,3,2,2,1,2,2,2,2,2,1,1,2,2,2,1,2,1,2,2,2,2,2,2,2,2,2,2,2,1,2,1,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2,1, , ,2,3,2,1,41,1,3,2,1,1,1,1,3,9,3,3,3.31034482758621,.98972239064793
100953,1,55,2,R,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2, , , , , , , ,2,1,2,2, ,1,3,2,1,53,6,4,2,1,1,1,1,3,1,2,8,2.79310344827586,.835078267109191
100955,1,29,2,U,1,1,1,1,8,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,1,1,1,1,2,2,1,1,1,1,1,1,1,2,1,1,1,1,2,1,2,1,2,2,1,2,2,2,1,1,2,1,2,1,1,1,1,2,2,2,1,1,1,1,2,1,2,1,2,2,2,2,2,1,1, , ,2,3,2,2,36,6,8,2,1,3,1,1,2, ,5,2,4.58620689655173,1.37117789537682
100956,1,17,2,S,2,1,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2, , , , , , , ,2,9,1, , ,3,3,2,2,75,1,3,2,1,6,3,1,2, ,3,2,3,.896935916524687
100959,1,53,4,R,1,1,2,1,1,8,2,1,2,2,1,8,8,1,2,1,1,1,3,3,1,1,3,2,2,2,1,1,2,2,2,2,2,1,2,2,2,1,2,2,2,2,2,2,2,2,1,2,1,2,2,1,2,1,1,2,2,2,1,2,1,1,1,1,2,2,2,2,2,1,2,2,1,1,1, , ,2,1,2,2,54,1,4,2,1,7,4,1,3,1,1,1,3.13793103448276,.938174349468351
100975,1,8,4,R,2,1,8, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2, , , , , , , ,1,2,1, , ,2,3,2,2,85,1,3,2,1,99,9,1,9,9,3,3,1.93103448275862,.577338061211293
100979,1,35,4,U,1,1,1,8,2,2,2,1,2,1,1,2,2,8,1,1,3,1,3,1,2,3,1,3,1,2,2,2,2,1,2,2,1,1,2,1,1,2,2,1,1,2,2,1,1,2,2,2,1,2,2,2,2, , , , , , , , , , ,3,2,1,2,2,2,2,2,2,1,2,1, , ,2,1,1,1,52,3,8,2,1,99,4,1,3,2,3,2,2.44827586206897,.731982184750032
100984,1,35,4,R,1,2, ,1,2,2,2,2,2,2,1,1,2,8,1,1,1,1,1,1,1,1,1,2,2,1,2,1,1,1,1,1,1,1,2,2,1,1,2,1,2,2,2,2,2,2,2,2,2,1,2,2,2, , , , , , , , , , ,1,2,2,2,2,2,2,2,2,2,1,2,2, ,1,1,2,1,22,6,4,2,1,2,1,3,3,2,4,3,1.58620689655172,.474241978852133
100995,1,29,2,S,1,1,2,1,1,2,2,2,1,2,1,2,3,1,1,2,3,1,3,1,1,1,1,1,2,1,2,1,1,1,2,2,1,1,2,2,1,1,2,2,2,2,2,2,1,2,2,2,2,2,2,1,1,1,2,2,2,2,2,1,1,1,1,1,2,2,2,2,2,2,2,2,1,1,1, , ,2,3,2,2,80,2,4,2,1,2,1,1,2, ,4,2,1.27586206896552,.38145550472889
101005,1,28,3,R,1,1,8,1,1,1,2,2,2,1,2,2,2,2,2,3,1,3,3,2,1,2,3,5,1,2,1,1,2,1,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , ,1,1,8,2,2,2,2,2,2,2,2,1, , ,2,3,2,2,68,1,8,2,2,9,4,1,2, ,3,3,1,.298978638841562
101013,1,4,4,U,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2, , , , , , , ,1,9,2,2, ,1,3,2,2,58,6,8,2,1,1,1,1,1, ,2,1,1.17241379310345,.350526680021142
101017,1,6,4,U,1,2, ,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,5,3,3,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , ,1,2,2,2,2,2,2,2,2,2,1,2,1, ,3,1,2,1,53,1,3,1,6,3,1,2,3,1,2,3,8,2.3918291107325
101024,1,6,4,U,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2, , , , , , , ,2,1,2,1, ,2,1,2,1,57,1,6,2,1,6,3,1,3,2,3,2,2.62068965517241,.783530225929612
101050,1,41,4,U,2,1,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2, , , , , , , ,8,2,1, , ,2,2,2,2,77,1,8,2,1,99,9,1,2, ,3,2,1,.298978638841562
101061,1,41,4,S,1,1,2,2,2,2,2,2,2,2,2,2,2,2,1,3,1,1,1,5,5,2,1,5,1,2,3,3,3,2,2,2,2,2,3,2,2,2,2,2,3,2,3,3,8,2,3,2,2,2,2,2,2, , , , , , , , , , ,2,2,2,2,2,2,2,2,2,2,2,1, , ,2,3,2,2,80,1,5,2,1,3,1,1,1, ,2,3,1.17241379310345,.350526680021142
101065,1,53,4,R,1,1,1,8,8,8,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,2,2,2,2,1,1,2,2,1,2,1,2,2,2,2,2,1,2,2,2,2,3,2,1,2,2,2,1,2,2,1,2,1,1,2,4,2,2,2,2,2,2,2,2,2,1,1, , ,3,1,1,2,53,1,6,2,1,7,4,1,3,1,3,1,3.27586206896552,.979412782412014
101081,1,41,4,R,1,1,2,1,1,1,2,1,2,8,1,2,2,1,1,1,1,1,1,1,1,1,1,5,2,1,1,1,1,2,2,1,1,1,2,1,1,2,2,2,2,1,2,2,1,2,2,3,2,2,2,1,2,1,1,2,2,2,2,2,1,2,2,1,1,1,2,2,2,2,2,2,2,1,1, , ,2,1,2,2,55,1,8,2,1,6,3,1,1, ,2,2,1.20689655172414,.360836288257058
101095,1,39,2,R,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,3,1,3,3,3,3,1,3,2,2,1,1,1,1,1,1,1,2,1,1,2,2,1,2,2,1,2,2,2,1,2,2,2,2,2,2,1,1,2,2,2,2,1,2,2,1,2,2,2,1,1,2,2,2,2,2,2,2,1,1, , ,4,1,2,1,64,1,6,2,1,5,2,1,3,2,5,3,2.13793103448276,.639195710626788
101106,1,6,4,U,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , ,1,2,2,2,2,2,2,2,2,1,2,1, , ,9,1,1,1,99,1,8,2,9,6,3,1,2, ,2,2,1.79310344827586,.536099628267629
101109,1,53,4,U,2,1,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2, , , , , , , ,2,1,1, , ,1,3,2,2,56,3,3,2,1,99,1,1,3,9,4,3,1.55172413793103,.463932370616217
101110,1,32,4,R,2,1,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2, , , , , , , ,2,1,1, , ,2,1,2,1,58,1,1,1,6,5,2,1,3,2,2,2,2.89655172413793,.866007091816939
101112,1,6,4,U,1,1,1,8,8,8,1,8,2,1,1,1,1,1,1,2,4,2,3,3,1,1,2,2,1,2,1,2,2,2,2,1,1,1,2,2,2,1,2,2,1,1,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2,1,2,1,2,2,2,2,2,2,2,2,2,2,1,1, , ,2,1,1,1,48,1,8,2,1,7,4,1,3,9,3,2,3.24137931034483,.969103174176098
101116,1,39,2,R,1,1,1,1,2,2,2,2,8,2,2,2,2,2,2,3,1,3,3,3,3,3,3,5,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , ,1,2,2,2,2,2,2,2,2,1,2,1, , ,2,2,1,2,46,1,3,2,1,7,4,1,1, ,2,3,3.13793103448276,.938174349468351
101128,1,44,1,S,2,1,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2, , , , , , , ,8,1,1, , ,1,3,2,1,67,3,8,2,1,5,2,1,3,2,3,2,1.03448275862069,.309288247077478
101131,1,37,3,R,1,2, ,1,2,2,3,2,2,1,2,2,2,1,2,2,2,2,3,2,2,1,2,5,1,2,1,1,2,2,2,2,1,1,2,1,1,1,2,2,2,2,2,2,2,2,2,2,2,1,2,1,2,1,2,1,2,2,2,2,1,1,2,3,2,2,2,2,2,2,2,2,1,1,2,1, ,2,2,1,1,32,1,4,2,1,7,4,3,2, ,4,2,5.62068965517241,1.6804661424543
101139,1,42,1,S,1,1,1,1,2,2,2,1,1,1,1,2,1,1,2,2,1,2,1,3,3,2,2,1,2,2,1,2,2,2,2,2,2,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,1,2,1,2,2,1,1,2,1,2,2,2,2,2,2,2,2,2,9,1, , ,2,1,2,2,62,1,5,2,1,99,1,1,2, ,4,2,2.44827586206897,.731982184750032
101146,1,37,3,S,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,1,1,1,2,1,1,2,1,1,1,2,1,2,2,2,2,2,2,1,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , ,1,2,2,2,2,2,2,2,2,1,2,1, , ,4,2,2,2,61,1,6,2,1,9,4,1,3,9,3,3,1.79310344827586,.536099628267629
101147,1,39,2,R,2,1,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2, , , , , , , ,8,8,1, , ,1,3,2,1,83,3,6,2,1,2,1,1,4,9,3,2,1,.298978638841562
101148,1,45,3,S,1,1,2,8,1,1,2,1,1,8,1,2,1,2,1,1,1,1,2,1,1,1,1,1,2,1,2,2,1,2,1,1,1,1,8,2,1,1,1,1,1,1,1,2,2,2,1,2,1,1,2,1,2,1,1,1,1,1,1,2,1,1,1,3,2,2,2,2,2,1,1,2,2,1,1, , ,3,2,2,1,28,6,6,2,2,99,9,1,3,2,3,3,2.62068965517241,.783530225929612
101151,1,26,2,S,1,1,2,8,1,1,2,1,1,2,2,2,2,8,2,2,2,2,2,2,3,1,2,5,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2, , , , , , , , , , ,1,2,2,2,2,2,2,2,2,2,2,1, , ,2,2,1,2,46,1,6,2,1,8,4,1,1, ,2,3,2.20689655172414,.65981492709862
101174,1,36,1,S,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2, , , , , , , ,1,2,2,2, ,2,3,2,2,68,1,1,2,1,99,9,1,1, ,1,1,3.62068965517241,1.08250886477117
101175,1,36,1,U,2,1,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , ,1,1,1, , ,2,3,2,1,73,1,1,2,2,3,1,1,2, ,2,4,3.62068965517241,1.08250886477117
101183,1,36,1,S,2,1,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2, , , , , , , ,2,1,1, , ,1,3,2,2,77,5,3,2,1,4,2,1,2, ,3,1,1.68965517241379,.505170803559881
101185,1,42,1,R,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2, , , , , , , ,1,8,2,2, ,1,3,2,2,78,6,4,2,1,2,1,1,2, ,3,3,1.10344827586207,.32990746354931
101187,1,18,2,S,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2, , , , , , , ,1,9,2,2, ,2,3,2,2,82,1,6,2,1,99,9,1,1, ,3,3,1.62068965517241,.484551587088049
101189,1,51,3,R,1,2, ,3,1,1,3,1,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,1,2,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , ,1,2,2,2,2,2,2,2,2,2,1,2,1, ,2,1,2,2,53,1,3,2,1,4,2,1,4,9,3,3,5.79310344827586,1.73201418363388
101192,1,36,1,S,1,1,8,1,9,9,2,1,9,1,1,2,9,9,1,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,1,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,1,2,2,2,2,2,2,1,1, , ,2,2,1,2,46,1,8,2,1,9,4,1,1, ,1,1,2.82758620689655,.845387875345107
101193,1,12,3,S,1,1,2,8,8,2,2,2,2,1,1,2,1,1,1,2,3,1,3,2,2,1,1,3,1,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , ,2,2,2,2,2,2,2,2,2,2,1,1, , ,2,3,2,2,77,3,3,2,1,4,2,1,3,9,3,1,2.31034482758621,.690743751806368
101199,1,34,1,S,1,1,2,1,1,2,2,2,2,2,2,2,2,1,1,1,1,1,2,2,1,1,2,1,2,1,1,1,2,2,2,2,1,2,2,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,2,2,2,2,1,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,1, , ,2,3,2,2,66,1,5,2,1,6,3,1,3,2,3,2,2.13793103448276,.639195710626788
101210,1,26,2,S,2,1,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2, , , , , , , ,8,1,1, , ,1,3,2,2,90,5,6,2,1,2,1,1,2, ,2,3,1,.298978638841562
101213,1,36,1,S,1,1,2,8,8,8,1,1,8,8,1,2,2,2,2,2,2,2,2,2,2,3,2,2,1,2,2,2,2,2,2,2,8,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , ,2,2,2,2,2,2,2,2,2,2,1,1, , ,1,1,2,1,45,6,5,2,1,4,2,3,3,2,2,3,2.93103448275862,.876316700052855
